,Unidade Geográfica,FUND Apr,MED Apr,FUND Rep,MED Rep,FUND Aban,MED Aban,FUND Distorção ID-S,MED Distorção ID-S,Remuneração_Média,Carga_Horária_Semanal,Remuneração_40hrs_semanais,INF DCS,FUND DCS,MED DCS,Média_INSE,INSE1,INSE2,INSE3,INSE4,INSE5,INSE6,INSE7,INSE8,Reg Baixa,Reg BaixaMedia,Reg MediaAlta,Reg Alta,FUND Nota_Matemática,FUND Nota_Português,Nota Média Padronizada,INF MH,FUND MH,MED MH,FUND ED G1,FUND ED G2,FUND ED G3,FUND ED G4,FUND ED G5,FUND ED G6,MED ED G1,MED ED G2,MED ED G3,MED ED G4,MED ED G5,INF MA,FUND MA,ME MA,INF AD G1,INF AD G2,INF AD G3,INF AD G4,INF AD G5,FUND AD G1,FUND AD G2,FUND AD G3,FUND AD G4,FUND AD G5,MED AD G1,MED AD G2,MED AD G3,MED AD G4,MED AD G5
0,Brasil,96.3,89.8,2.2,4.6,1.5,5.6,15.6,27.9,,,,84.8,92.0,97.4,,,,,,,,,,9.6,32.9,44.7,12.8,,,,5.8,4.7,5.4,19.2,18.0,24.8,28.7,6.1,3.2,9.1,25.2,43.1,14.1,7.6,17.5,24.0,30.6,64.9,1.3,19.0,1.9,12.9,66.5,1.8,20.1,2.5,9.1,66.1,1.8,25.7,3.9,2.5
1,Norte,94.2,80.9,3.2,8.4,2.6,10.7,22.4,40.0,,,,80.6,87.0,97.6,,,,,,,,,,16.5,29.8,39.1,14.6,198.76,191.06,5.235715,4.5,4.4,4.8,23.8,15.7,26.7,24.9,5.3,3.6,8.4,22.3,42.0,14.3,10.5,18.1,22.9,30.3,67.7,1.0,12.2,2.0,17.1,57.4,1.1,24.6,2.7,14.2,66.1,1.3,30.8,3.1,2.3
2,Nordeste,95.3,90.3,2.5,2.9,2.2,6.8,20.7,35.3,,,,75.0,84.8,96.8,,,,,,,,,,9.2,27.5,45.6,17.7,200.05,192.24,5.281828,5.1,4.6,5.7,22.8,19.7,26.0,24.1,4.6,2.8,10.8,31.8,37.0,12.2,7.6,18.0,23.4,33.3,61.2,2.7,11.7,1.3,23.1,52.7,2.1,26.7,2.6,15.9,66.1,1.7,36.1,6.4,2.7
3,Sudeste,97.8,92.9,1.3,3.6,0.9,3.5,10.7,20.5,,,,86.8,96.5,99.6,,,,,,,,,,7.6,37.7,45.7,9.0,218.93,209.98,5.965273,6.2,5.0,5.5,17.2,19.4,22.3,31.3,6.7,3.1,8.7,24.4,45.8,13.9,6.6,17.8,25.8,31.3,65.4,0.8,20.7,2.0,11.1,76.4,1.7,15.1,2.7,4.1,66.1,1.8,19.5,3.2,0.3
4,Sul,96.5,88.1,2.6,5.4,0.9,6.5,13.1,23.9,,,,90.2,94.3,93.6,,,,,,,,,,8.3,36.3,46.2,9.2,223.97,215.54,6.162713,6.9,4.3,4.7,13.6,12.4,27.3,34.9,7.6,4.2,7.7,16.1,47.4,17.7,9.8,15.0,21.6,24.7,65.3,1.1,22.8,2.1,8.7,74.3,1.4,16.7,2.0,5.6,66.1,1.1,19.7,2.7,6.3
5,Centro-Oeste,96.5,88.1,3.0,9.3,0.5,2.6,12.9,24.8,,,,94.0,96.9,98.3,,,,,,,,,,7.7,42.5,43.7,6.1,212.79,206.57,5.785925,5.9,4.7,5.1,21.4,19.8,24.2,25.6,6.1,2.9,9.4,30.5,39.0,13.5,6.3,18.9,25.1,30.1,68.9,1.8,22.4,1.8,5.1,74.4,3.0,17.0,1.8,3.8,66.1,4.2,26.6,3.0,1.6
6,RO,96.9,88.0,2.0,6.8,1.1,5.2,14.4,27.6,,,,94.7,95.2,99.0,4.88,0.39,9.85,20.43,27.91,22.04,11.96,6.69,0.74,3.7,20.9,58.9,16.5,202.42,195.05,5.378228,4.3,4.2,4.9,28.1,13.3,24.6,25.0,6.3,2.7,6.6,23.4,48.1,14.8,6.5,18.0,22.9,27.5,85.2,2.4,6.4,0.7,5.3,69.3,2.2,20.7,2.1,5.7,66.1,2.3,27.1,2.0,0.9
7,AC,94.7,85.8,2.6,7.7,2.7,6.5,23.4,31.9,,,,71.4,80.5,92.0,4.56,2.36,24.6,22.27,21.43,15.17,8.61,5.11,0.47,29.2,43.7,20.3,6.8,208.08,202.08,5.614254,4.6,4.3,5.3,27.8,15.8,29.8,23.5,2.6,0.5,12.9,37.3,39.5,5.8,1.1,17.6,22.0,25.6,60.5,0.9,10.3,0.9,27.4,48.4,0.9,25.9,1.0,23.8,66.1,1.8,36.2,1.2,12.2
8,AM,95.8,91.4,1.5,2.9,2.7,5.7,18.7,36.7,,,,75.6,82.0,97.8,4.5,4.09,25.95,21.86,20.26,13.9,7.92,5.23,0.78,22.3,32.9,34.5,10.3,205.68,196.73,5.471078,4.2,4.3,4.8,23.2,20.8,23.9,26.1,3.8,2.2,8.5,23.2,44.0,10.8,6.6,18.3,23.1,29.6,63.8,0.4,11.0,3.3,21.5,51.5,0.4,24.2,4.4,19.5,66.1,0.6,40.9,6.2,1.9
9,RR,95.9,86.1,2.6,8.8,1.5,5.1,18.0,29.6,4074.788,35.39817,4604.518,86.4,79.7,82.6,4.7,3.32,18.89,19.62,21.49,17.29,10.24,8.0,1.14,21.6,30.8,38.7,8.9,205.15,196.84,5.462952,4.9,4.3,4.8,24.1,15.4,23.7,29.7,5.2,1.9,9.5,26.8,48.3,10.7,3.7,19.7,21.4,23.4,64.9,1.4,21.9,1.4,10.4,56.6,1.3,20.3,4.1,17.7,66.1,0.7,25.8,4.9,12.5
